corner,point,x_mm,y_mm,z_mm
FL,UCA_IN_FRONT,60.0,150.0,295.0
FL,UCA_IN_REAR,-70.0,150.0,295.0
FL,UCA_OUT,-5.0,590.0,280.0
FL,LCA_IN_FRONT,90.0,130.0,162.0
FL,LCA_IN_REAR,-70.0,130.0,162.0
FL,LCA_OUT,15.0,600.0,152.0
FL,TIE_ROD_IN,-50.0,180.0,200.0
FL,TIE_ROD_OUT,-60.0,580.0,195.0
FL,WHEEL_CENTER,5.0,610.0,220.0
FL,CONTACT_PATCH,5.0,610.0,0.0
FR,UCA_IN_FRONT,60.0,-150.0,295.0
FR,UCA_IN_REAR,-70.0,-150.0,295.0
FR,UCA_OUT,-5.0,-590.0,280.0
FR,LCA_IN_FRONT,90.0,-130.0,162.0
FR,LCA_IN_REAR,-70.0,-130.0,162.0
FR,LCA_OUT,15.0,-600.0,152.0
FR,TIE_ROD_IN,-50.0,-180.0,200.0
FR,TIE_ROD_OUT,-60.0,-580.0,195.0
FR,WHEEL_CENTER,5.0,-610.0,220.0
FR,CONTACT_PATCH,5.0,-610.0,0.0
RL,UCA_IN_FRONT,-1490.0,150.0,295.0
RL,UCA_IN_REAR,-1620.0,150.0,295.0
RL,UCA_OUT,-1555.0,590.0,280.0
RL,LCA_IN_FRONT,-1460.0,130.0,162.0
RL,LCA_IN_REAR,-1620.0,130.0,162.0
RL,LCA_OUT,-1535.0,600.0,152.0
RL,TIE_ROD_IN,-1600.0,180.0,200.0
RL,TIE_ROD_OUT,-1610.0,580.0,195.0
RL,WHEEL_CENTER,-1545.0,610.0,220.0
RL,CONTACT_PATCH,-1545.0,610.0,0.0
RR,UCA_IN_FRONT,-1490.0,-150.0,295.0
RR,UCA_IN_REAR,-1620.0,-150.0,295.0
RR,UCA_OUT,-1555.0,-590.0,280.0
RR,LCA_IN_FRONT,-1460.0,-130.0,162.0
RR,LCA_IN_REAR,-1620.0,-130.0,162.0
RR,LCA_OUT,-1535.0,-600.0,152.0
RR,TIE_ROD_IN,-1600.0,-180.0,200.0
RR,TIE_ROD_OUT,-1610.0,-580.0,195.0
RR,WHEEL_CENTER,-1545.0,-610.0,220.0
RR,CONTACT_PATCH,-1545.0,-610.0,0.0
